ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Data_source,Comment
235,Ashraf et al. 2017 Environ Sci Pollut Res,30,AVS,Tribolium castaneum,Arthropod,Metarhizium anisopliae,Fungus,Experimental,Diatomaceous earth,Toxin,Sporulation,Intensity,Epidemiological,yes,Comparison,F2,F2D2,3,3,132.168,6.643,,,28.322,2.797,,,,,SE,,,,,,,,,,,,,,,,,Fig 5a,Study consist in 3 replicates of each treatment. Each replicate is a jar with 30 insects. Four different pest insects were evaluated. Mortality taken only for the last day (21 or 7). The authors did not report the mortality for the control
236,Ashraf et al. 2017 Environ Sci Pollut Res,31,AVS,Tribolium castaneum,Arthropod,Metarhizium anisopliae,Fungus,Experimental,Thiamethoxam,Toxin,Sporulation,Intensity,Epidemiological,yes,Comparison,F,FI1,3,3,145.234,5.893,,,62.738,3.12,,,,,SE,,,,,,,,,,,,,,,,,Fig 5b,Study consist in 3 replicates of each treatment. Each replicate is a jar with 30 insects. Four different pest insects were evaluated. Mortality taken only for the last day (21 or 7). The authors did not report the mortality for the control
237,Ashraf et al. 2017 Environ Sci Pollut Res,31,AVS,Tribolium castaneum,Arthropod,Metarhizium anisopliae,Fungus,Experimental,Thiamethoxam,Toxin,Sporulation,Intensity,Epidemiological,yes,Comparison,F,FI2,3,3,145.234,5.893,,,49.22,3.466,,,,,SE,,,,,,,,,,,,,,,,,Fig 5b,Study consist in 3 replicates of each treatment. Each replicate is a jar with 30 insects. Four different pest insects were evaluated. Mortality taken only for the last day (21 or 7). The authors did not report the mortality for the control
238,Ashraf et al. 2017 Environ Sci Pollut Res,31,AVS,Tribolium castaneum,Arthropod,Metarhizium anisopliae,Fungus,Experimental,Thiamethoxam,Toxin,Sporulation,Intensity,Epidemiological,yes,Comparison,F,FI3,3,3,145.234,5.893,,,39.168,2.773,,,,,SE,,,,,,,,,,,,,,,,,Fig 5b,Study consist in 3 replicates of each treatment. Each replicate is a jar with 30 insects. Four different pest insects were evaluated. Mortality taken only for the last day (21 or 7). The authors did not report the mortality for the control
239,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,LS mean Ln infection load,Intensity,Epidemiological,no,Comparison,24C_7day,12C_7day,16,20,-0.041377395,,4.6697736,-4.730275,1.8031014,,3.091962,0.6252906,,,CI,,,,,,,,,,,,,,,,,Figure 1a,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
240,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,LS mean Ln infection load,Intensity,Epidemiological,no,Comparison,24C_17day,12C_17day,16,20,1.6760025,,3.40937,-0.12397014,5.5204854,,6.587123,4.3649893,,,CI,,,,,,,,,,,,,,,,,Figure 1a,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
241,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,LS mean Ln infection load,Intensity,Epidemiological,no,Comparison,24C_39day,12C_39day,16,20,1.4378538,,2.7046156,0.015598024,7.904533,,9.237869,6.349067,,,CI,,,,,,,,,,,,,,,,,Figure 1a,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
242,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,LS mean Ln infection load,Intensity,Epidemiological,no,Comparison,24C_48day,12C_48day,16,20,1.8663423,,3.2885673,0.39976543,7.110828,,9.177405,4.95533,,,CI,,,,,,,,,,,,,,,,,Figure 1a,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
243,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Infected demographic,no,Contingency table,24C_7day,12C_7day,16,20,,,,,,,,,16,20,OR,,,,,,,,,,,,,,,,,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
244,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Infected demographic,no,Contingency table,24C_17day,12C_17day,16,20,,,,,,,,,16,20,OR,,,,,,,,,,,,,,,,,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
245,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Infected demographic,no,Contingency table,24C_39day,12C_39day,16,20,,,,,,,,,14,15,OR,,,,,,,,,,,,,,,,,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
246,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Infected demographic,no,Contingency table,24C_48day,12C_48day,16,20,,,,,,,,,14,7,OR,,,,,,,,,,,,,,,,,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
247,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Uninfected demographic,no,Contingency table,24C_7day,12C_7day,20,20,,,,,,,,,19,20,OR,,,,,,,,,,,,,,,,,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
248,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Uninfected demographic,no,Contingency table,24C_17day,12C_17day,20,20,,,,,,,,,19,19,OR,,,,,,,,,,,,,,,,,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
249,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Uninfected demographic,no,Contingency table,24C_39day,12C_39day,20,20,,,,,,,,,19,19,OR,,,,,,,,,,,,,,,,,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
250,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Uninfected demographic,no,Contingency table,24C_48day,12C_48day,20,20,,,,,,,,,19,19,OR,,,,,,,,,,,,,,,,,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
251,Campbell et al. 2017. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,no,Contingency table,24C,12C,20,20,,,,,,,,,16,20,OR,,,,,,,,,,,,,,,,,"Text page 4, last paragraph","Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised "
252,Paris et al. 2017. Microbial biotechnology,33,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Fipronil,Toxin,Cumulative proportion surviving,Survivorship,Uninfected demographic,yes,,no_FIP_D7,FIP_D7,135,135,,,,,,,,,134,129,OR,,,,,,,,,,,,,,,,,Figure 2.,
253,Paris et al. 2017. Microbial biotechnology,33,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Fipronil,Toxin,Cumulative proportion surviving,Survivorship,Uninfected demographic,yes,,no_FIP_D14,FIP_D14,135,135,,,,,,,,,134,126,OR,,,,,,,,,,,,,,,,,Figure 2.,
254,Paris et al. 2017. Microbial biotechnology,33,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Fipronil,Toxin,Cumulative proportion surviving,Survivorship,Uninfected demographic,yes,,no_FIP_D22,FIP_D22,135,135,,,,,,,,,118,80,OR,,,,,,,,,,,,,,,,,Figure 2.,
255,Paris et al. 2017. Microbial biotechnology,33,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Fipronil,Toxin,Cumulative proportion surviving,Survivorship,Infected demographic,yes,,no_FIP_D7,FIP_D7,135,135,,,,,,,,,133,131,OR,,,,,,,,,,,,,,,,,Figure 2.,
256,Paris et al. 2017. Microbial biotechnology,33,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Fipronil,Toxin,Cumulative proportion surviving,Survivorship,Infected demographic,yes,,no_FIP_D14,FIP_D14,135,135,,,,,,,,,127,124,OR,,,,,,,,,,,,,,,,,Figure 2.,
257,Paris et al. 2017. Microbial biotechnology,33,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Fipronil,Toxin,Cumulative proportion surviving,Survivorship,Infected demographic,yes,,no_FIP_D22,FIP_D22,135,135,,,,,,,,,56,47,OR,,,,,,,,,,,,,,,,,Figure 2.,
258,Paris et al. 2017. Microbial biotechnology,33,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Fipronil,Toxin,Mean number of spores per honeybee (x10^6),Intensity,Epidemiological,yes,Comparison,no_FIP_D7,FIP_D7,24,24,2.87,,2.15,3.58,2.69,,1.97,4.12,,,CI,,,,,,,,,,,,,,,,,Figure 4.,
259,Paris et al. 2017. Microbial biotechnology,33,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Fipronil,Toxin,Mean number of spores per honeybee (x10^6),Intensity,Epidemiological,yes,Comparison,no_FIP_D14,FIP_D14,24,24,23.3,,17.56,28.85,28.32,,21.68,34.77,,,CI,,,,,,,,,,,,,,,,,Figure 4.,
260,Paris et al. 2017. Microbial biotechnology,33,AVS,Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Fipronil,Toxin,Mean number of spores per honeybee (x10^6),Intensity,Epidemiological,yes,Comparison,no_FIP_D22,FIP_D22,15,15,55.91,,42.83,69,56.27,,41.94,70.61,,,CI,,,,,,,,,,,,,,,,,Figure 4.,
261,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Carbaryl,Toxin,Mean percent survival,Survivorship,Uninfected demographic,yes,,no_insecticide,0.3_Carbaryl,4,4,100,0,,,100,0,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
262,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Carbaryl,Toxin,Mean percent survival,Survivorship,Uninfected demographic,yes,,no_insecticide,3_Carbaryl,4,4,100,0,,,100,0,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
263,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Carbaryl,Toxin,Mean percent survival,Survivorship,Uninfected demographic,yes,,no_insecticide,30_Carbaryl,4,4,100,0,,,17.7,7.39,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
264,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Thiamethoxam,Toxin,Mean percent survival,Survivorship,Uninfected demographic,yes,,no_insecticide,0.3_Thiamethoxam,4,4,100,0,,,100,0,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
265,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Thiamethoxam,Toxin,Mean percent survival,Survivorship,Uninfected demographic,yes,,no_insecticide,3_Thiamethoxam,4,4,100,0,,,67.96,13.16,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
266,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Thiamethoxam,Toxin,Mean percent survival,Survivorship,Uninfected demographic,yes,,no_insecticide,30_Thiamethoxam,4,4,100,0,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
267,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Carbaryl,Toxin,Mean percent survival,Survivorship,Infected demographic,yes,,no_insecticide,0.3_Carbaryl,4,4,90.05,7.08,,,87.88,4.75,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
268,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Carbaryl,Toxin,Mean percent survival,Survivorship,Infected demographic,yes,,no_insecticide,3_Carbaryl,4,4,90.05,7.08,,,77.51,10.47,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
269,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Carbaryl,Toxin,Mean percent survival,Survivorship,Infected demographic,yes,,no_insecticide,30_Carbaryl,4,4,90.05,7.08,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
270,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Thiamethoxam,Toxin,Mean percent survival,Survivorship,Infected demographic,yes,,no_insecticide,0.3_Thiamethoxam,4,4,90.05,7.08,,,85.55,2.91,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
271,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Thiamethoxam,Toxin,Mean percent survival,Survivorship,Infected demographic,yes,,no_insecticide,3_Thiamethoxam,4,4,90.05,7.08,,,42.96,6.32,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
272,Pochini and Hoverman. 2017. Environmental Pollution,34,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Thiamethoxam,Toxin,Mean percent survival,Survivorship,Infected demographic,yes,,no_insecticide,30_Thiamethoxam,4,4,90.05,7.08,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Figure Appendix 1. ,N= 4 (each with 10 tadpoles)
273,Pochini and Hoverman. 2017. Environmental Pollution,35,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Carbaryl,Toxin,Time to death,Survivorship,Infected demographic,yes,,no_insecticide_immediately,Carbaryl_immediately,4,4,176.06,2.18,,,162.42,2.76,,,,,SE,,,,,,,,,,,,,,,,,Figure 2. ,N= 4 (each with 10 tadpoles)
274,Pochini and Hoverman. 2017. Environmental Pollution,35,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Carbaryl,Toxin,Time to death,Survivorship,Infected demographic,yes,,no_insecticide_2wks,Carbaryl_2wks,4,4,226.29,7.7,,,236.19,6.87,,,,,SE,,,,,,,,,,,,,,,,,Figure 2. ,N= 4 (each with 10 tadpoles)
275,Pochini and Hoverman. 2017. Environmental Pollution,35,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Thiamethoxam,Toxin,Time to death,Survivorship,Infected demographic,yes,,no_insecticide_immediately,Thiamethoxam_immediately,4,4,176.06,2.18,,,168.23,5.08,,,,,SE,,,,,,,,,,,,,,,,,Figure 2. ,N= 4 (each with 10 tadpoles)
276,Pochini and Hoverman. 2017. Environmental Pollution,35,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Thiamethoxam,Toxin,Time to death,Survivorship,Infected demographic,yes,,no_insecticide_2wks,Thiamethoxam_2wks,4,4,226.29,7.7,,,240.03,6.87,,,,,SE,,,,,,,,,,,,,,,,,Figure 2. ,N= 4 (each with 10 tadpoles)
277,Pochini and Hoverman. 2017. Environmental Pollution,35,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Carbaryl,Toxin,Log Viral Load,Intensity,Epidemiological,yes,,no_insecticide_immediately,Carbaryl_immediately,4,4,12.17,0.1,,,11.67,0.3,,,,,SE,,,,,,,,,,,,,,,,,Figure 3.,load measure at time of death for each individual. N = 4 or 40?
278,Pochini and Hoverman. 2017. Environmental Pollution,35,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Carbaryl,Toxin,Log Viral Load,Intensity,Epidemiological,yes,,no_insecticide_2wks,Carbaryl_2wks,4,4,12.52,0.1,,,12,0.22,,,,,SE,,,,,,,,,,,,,,,,,Figure 3.,load measure at time of death for each individual. N = 4 or 40?
279,Pochini and Hoverman. 2017. Environmental Pollution,35,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Thiamethoxam,Toxin,Log Viral Load,Intensity,Epidemiological,yes,,no_insecticide_immediately,Thiamethoxam_immediately,4,4,12.17,0.1,,,12.07,0.22,,,,,SE,,,,,,,,,,,,,,,,,Figure 3.,load measure at time of death for each individual. N = 4 or 40?
280,Pochini and Hoverman. 2017. Environmental Pollution,35,AVS,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Thiamethoxam,Toxin,Log Viral Load,Intensity,Epidemiological,yes,,no_insecticide_2wks,Thiamethoxam_2wks,4,4,12.52,0.1,,,12.27,0.22,,,,,SE,,,,,,,,,,,,,,,,,Figure 3.,load measure at time of death for each individual. N = 4 or 40?
281,Rohr et al. 2017. Ecol Appl,36,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Log10 Bd abundance,Intensity,Epidemiological,yes,Comparison,Control_simultaneous,Funguscide_simultaneous,5,38,3.8,1.63,,,3.01,0.55,,,,,SE,,,,,,,,,,,,,,,,,Fig 1A,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata"
282,Rohr et al. 2017. Ecol Appl,36,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Log10 Bd abundance,Intensity,Epidemiological,yes,Comparison,Control_later,Funguscide_later,10,32,1.8,0.73,,,6.21,0.7,,,,,SE,,,,,,,,,,,,,,,,,Fig 1A,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata"
283,Rohr et al. 2017. Ecol Appl,37,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Log10 Bd abundance,Intensity,Epidemiological,yes,Comparison,Control_FirstBd,Funguscide_FirstBd,10,25,1.78,0.76,,,4.75,0.62,,,,,SE,,,,,,,,,,,,,,,,,Fig 1B,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata. Discrepancy with N from Table S4"
284,Rohr et al. 2017. Ecol Appl,37,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Log10 Bd abundance,Intensity,Epidemiological,yes,Comparison,Control_SecondBd,Funcidide_SecondBd,4,20,2.7,2.65,,,0.96,0.48,,,,,SE,,,,,,,,,,,,,,,,,Fig 1B,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata. Discrepancy with N from Table S4"
285,Rohr et al. 2017. Ecol Appl,36,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Survival,Survivorship,Uninfected demographic,yes,Comparison,Control,Funguscide,20,60,79.74,,35.39,94.88,96.16,,77.4,99.36,,,CI,,,,,,,,,,,,,,,,,Fig 2A,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata"
286,Rohr et al. 2017. Ecol Appl,36,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Survival,Survivorship,Infected demographic,yes,Comparison,Control,Funguscide,20,60,89.77,,43.5,98.51,46.48,,21.75,65.88,,,CI,,,,,,,,,,,,,,,,,Fig 2A,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata"
287,Rohr et al. 2017. Ecol Appl,37,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Survival,Survivorship,Infected demographic,yes,Comparison,Control_FirstBd,Funguscide_FirstBd,10,25,100,,100,100,68.16,,48.08,83.33,,,CI,,,,,,,,,,,,,,,,,Fig 2B,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata"
288,Rohr et al. 2017. Ecol Appl,37,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Survival,Survivorship,Infected demographic,yes,Comparison,Control_SecondBd,Funcidide_SecondBd,5,21,60.04,,19.87,90.17,85.68,,64.1,95.51,,,CI,,,,,,,,,,,,,,,,,Fig 2B,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata"
289,Sandland & Josephson. 2017. Dis Aquat Org,38,AVS,Biomphalaria glabrata,Mollusc,Echinostoma caproni,Helminth,Experimental,Starvation,Resource,Mean egg output,Fecundity,Uninfected demographic,yes,Comparison,Fed,Starved,14,14,106.55,15.11,,,27.51,4.05,,,,,SE,,,,3.66,26,,,,,,,,,,,,Fig 1,2 wks post starvation (14d). Ttest value giving in results
290,Sandland & Josephson. 2017. Dis Aquat Org,38,AVS,Biomphalaria glabrata,Mollusc,Echinostoma caproni,Helminth,Experimental,Starvation,Resource,Mean egg output,Fecundity,Infected demographic,yes,Comparison,Fed,Starved,11,9,24.55,15.11,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Fig 1,2 wks post starvation (14d)
291,Sandland & Josephson. 2017. Dis Aquat Org,38,AVS,Biomphalaria glabrata,Mollusc,Echinostoma caproni,Helminth,Experimental,Starvation,Resource,Proportion snails alive,Survivorship,Uninfected demographic,yes,Comparison,Fed,Starved,14,14,,,,,,,,,14,14,OR,,,,,,,,,,,,,,,,,Fig 2,took values from week 7 corresponding to week 2 post-starvation
292,Sandland & Josephson. 2017. Dis Aquat Org,38,AVS,Biomphalaria glabrata,Mollusc,Echinostoma caproni,Helminth,Experimental,Starvation,Resource,Proportion snails alive,Survivorship,Infected demographic,yes,Comparison,Fed,Starved,11,9,,,,,,,,,9,6,OR,,,,,,,,,,,,,,,,,Fig 2,took values from week 7 corresponding to week 2 post-starvation
293,Sandland & Josephson. 2017. Dis Aquat Org,38,AVS,Biomphalaria glabrata,Mollusc,Echinostoma caproni,Helminth,Experimental,Starvation,Resource,Mean cercaria,Intensity,Epidemiological,yes,Comparison,Fed,Starved,8,8,1314.74,507.97,,,1738.05,517.93,,,,,SE,,,,,,,,,,,,,,,,,Fig 3,"Only considered the last day, which is closer to 2 wks post starvation (in this case is 10d)"
294,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Survival,Survivorship,Uninfected demographic,yes,Comparison,Control_Placebo,B,4,4,71.36,,47.79,96.36,86.29,,62.71,100,,,CI,,,,,,,,,,,,,,,,,Fig 5A,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
295,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Survival,Survivorship,Uninfected demographic,yes,Comparison,Control_Placebo,B_O3,4,4,71.36,,47.79,96.36,85.86,,63,100,,,CI,,,,,,,,,,,,,,,,,Fig 5A,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
296,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Survival,Survivorship,Uninfected demographic,yes,Comparison,Control_Placebo,BF,4,4,71.36,,47.79,96.36,79,,54.71,100,,,CI,,,,,,,,,,,,,,,,,Fig 5A,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
297,Schluter-Vorberg et al. 2017. Aquatic Toxicology,39,AVS,Daphnia magna,Invertebrate,Pasteuria ramosa,Bacteria,Experimental,Wastewater treatment plant effluents,Pollution,Survival,Survivorship,Infected demographic,yes,Comparison,Control_Pasteuria,B_Pasteuria,4,4,66.68,,43.46,90.61,71.25,,47.68,96.25,,,CI,,,,,,,,,,,,,,,,,Fig 5A,"Not clear if treated waste water is toxic, it could have more bacteria, meaning more food for Daphnia"
